"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Joe\Documents\Web development\ecommerce\server\model\Category.model.js.js", "JavaScript", 9, 0, 3, 12
"c:\Users\Joe\Documents\Web development\ecommerce\server\model\Product.model.js", "JavaScript", 43, 0, 5, 48
"c:\Users\Joe\Documents\Web development\ecommerce\server\model\User.model.js", "JavaScript", 32, 0, 3, 35
"Total", "-", 84, 0, 11, 95
